﻿Daily Discharge (m3/s) (PARAM = 1),,,,
 ID,PARAM,Date,Value,SYM
08NK028,1,1985-11-20,,
08NK028,1,1985-11-21,,
08NK028,1,1985-11-22,,
08NK028,1,1985-11-23,,
08NK028,1,1985-11-24,,
08NK028,1,1985-11-25,,
08NK028,1,1985-11-26,,
08NK028,1,1985-11-27,,
08NK028,1,1985-11-28,,
08NK028,1,1985-11-29,,
08NK028,1,1985-11-30,,
08NK028,1,1985-12-01,,
08NK028,1,1985-12-02,,
08NK028,1,1985-12-03,,
08NK028,1,1985-12-04,,
08NK028,1,1985-12-05,,
08NK028,1,1985-12-06,,
08NK028,1,1985-12-07,,
08NK028,1,1985-12-08,,
08NK028,1,1985-12-09,,
08NK028,1,1985-12-10,,
08NK028,1,1985-12-11,,
08NK028,1,1985-12-12,,
08NK028,1,1985-12-13,,
08NK028,1,1985-12-14,,
08NK028,1,1985-12-15,,
08NK028,1,1985-12-16,,
08NK028,1,1985-12-17,,
08NK028,1,1985-12-18,,
08NK028,1,1985-12-19,,
08NK028,1,1985-12-20,,
08NK028,1,1985-12-21,,
08NK028,1,1985-12-22,,
08NK028,1,1985-12-23,,
08NK028,1,1985-12-24,,
08NK028,1,1985-12-25,,
08NK028,1,1985-12-26,,
08NK028,1,1985-12-27,,
08NK028,1,1985-12-28,,
08NK028,1,1985-12-29,,
08NK028,1,1985-12-30,,
08NK028,1,1985-12-31,,
08NK028,1,1986-01-01,,
08NK028,1,1986-01-02,,
08NK028,1,1986-01-03,,
08NK028,1,1986-01-04,,
08NK028,1,1986-01-05,,
08NK028,1,1986-01-06,,
08NK028,1,1986-01-07,,
08NK028,1,1986-01-08,,
08NK028,1,1986-01-09,,
08NK028,1,1986-01-10,,
08NK028,1,1986-01-11,,
08NK028,1,1986-01-12,,
08NK028,1,1986-01-13,,
08NK028,1,1986-01-14,,
08NK028,1,1986-01-15,,
08NK028,1,1986-01-16,,
08NK028,1,1986-01-17,,
08NK028,1,1986-01-18,,
08NK028,1,1986-01-19,,
08NK028,1,1986-01-20,,
08NK028,1,1986-01-21,,
08NK028,1,1986-01-22,,
08NK028,1,1986-01-23,,
08NK028,1,1986-01-24,,
08NK028,1,1986-01-25,,
08NK028,1,1986-01-26,,
08NK028,1,1986-01-27,,
08NK028,1,1986-01-28,,
08NK028,1,1986-01-29,,
08NK028,1,1986-01-30,,
08NK028,1,1986-01-31,,
08NK028,1,1986-02-01,,
08NK028,1,1986-02-02,,
08NK028,1,1986-02-03,,
08NK028,1,1986-02-04,,
08NK028,1,1986-02-05,,
08NK028,1,1986-02-06,,
08NK028,1,1986-02-07,,
08NK028,1,1986-02-08,,
08NK028,1,1986-02-09,,
08NK028,1,1986-02-10,,
08NK028,1,1986-02-11,,
08NK028,1,1986-02-12,,
08NK028,1,1986-02-13,,
08NK028,1,1986-02-14,,
08NK028,1,1986-02-15,,
08NK028,1,1986-02-16,,
08NK028,1,1986-02-17,,
08NK028,1,1986-02-18,,
08NK028,1,1986-02-19,,
08NK028,1,1986-02-20,,
08NK028,1,1986-02-21,,
08NK028,1,1986-02-22,,
08NK028,1,1986-02-23,,
08NK028,1,1986-02-24,,
08NK028,1,1986-02-25,,
08NK028,1,1986-02-26,,
08NK028,1,1986-02-27,,
08NK028,1,1986-02-28,,
08NK028,1,1986-03-01,,
08NK028,1,1986-03-02,,
08NK028,1,1986-03-03,,
08NK028,1,1986-03-04,,
08NK028,1,1986-03-05,,
08NK028,1,1986-03-06,,
08NK028,1,1986-03-07,,
08NK028,1,1986-03-08,,
08NK028,1,1986-03-09,,
08NK028,1,1986-03-10,,
08NK028,1,1986-03-11,,
08NK028,1,1986-03-12,,
08NK028,1,1986-03-13,0.362,A
08NK028,1,1986-03-14,0.351,
08NK028,1,1986-03-15,0.307,
08NK028,1,1986-03-16,0.271,
08NK028,1,1986-03-17,0.262,
08NK028,1,1986-03-18,0.289,
08NK028,1,1986-03-19,0.264,
08NK028,1,1986-03-20,0.275,
08NK028,1,1986-03-21,0.326,
08NK028,1,1986-03-22,0.325,
08NK028,1,1986-03-23,0.316,
08NK028,1,1986-03-24,0.289,
08NK028,1,1986-03-25,0.289,
08NK028,1,1986-03-26,0.268,
08NK028,1,1986-03-27,0.318,
08NK028,1,1986-03-28,0.549,
08NK028,1,1986-03-29,0.78,
08NK028,1,1986-03-30,0.844,
08NK028,1,1986-03-31,0.724,
08NK028,1,1986-04-01,0.643,
08NK028,1,1986-04-02,0.571,
08NK028,1,1986-04-03,0.562,
08NK028,1,1986-04-04,0.54,
08NK028,1,1986-04-05,0.546,
08NK028,1,1986-04-06,0.549,
08NK028,1,1986-04-07,0.623,
08NK028,1,1986-04-08,0.796,
08NK028,1,1986-04-09,1.06,
08NK028,1,1986-04-10,1.19,
08NK028,1,1986-04-11,1.03,
08NK028,1,1986-04-12,0.885,
08NK028,1,1986-04-13,0.818,
08NK028,1,1986-04-14,0.61,
08NK028,1,1986-04-15,0.623,
08NK028,1,1986-04-16,0.675,
08NK028,1,1986-04-17,0.626,
08NK028,1,1986-04-18,0.575,
08NK028,1,1986-04-19,0.539,
08NK028,1,1986-04-20,0.583,
08NK028,1,1986-04-21,0.964,
08NK028,1,1986-04-22,3.02,
08NK028,1,1986-04-23,2.65,
08NK028,1,1986-04-24,2.22,E
08NK028,1,1986-04-25,1.49,E
08NK028,1,1986-04-26,1.37,E
08NK028,1,1986-04-27,1.18,E
08NK028,1,1986-04-28,1.09,E
08NK028,1,1986-04-29,0.994,E
08NK028,1,1986-04-30,0.91,E
08NK028,1,1986-05-01,0.845,E
08NK028,1,1986-05-02,0.831,E
08NK028,1,1986-05-03,1.36,E
08NK028,1,1986-05-04,2.13,E
08NK028,1,1986-05-05,2.06,E
08NK028,1,1986-05-06,1.78,E
08NK028,1,1986-05-07,1.56,E
08NK028,1,1986-05-08,1.55,E
08NK028,1,1986-05-09,1.8,E
08NK028,1,1986-05-10,1.81,E
08NK028,1,1986-05-11,1.81,E
08NK028,1,1986-05-12,1.55,E
08NK028,1,1986-05-13,1.84,E
08NK028,1,1986-05-14,1.54,E
08NK028,1,1986-05-15,1.28,E
08NK028,1,1986-05-16,1.51,E
08NK028,1,1986-05-17,1.53,E
08NK028,1,1986-05-18,1.57,E
08NK028,1,1986-05-19,2.24,E
08NK028,1,1986-05-20,4.03,E
08NK028,1,1986-05-21,6.98,E
08NK028,1,1986-05-22,4.68,A
08NK028,1,1986-05-23,3.33,
08NK028,1,1986-05-24,3.26,
08NK028,1,1986-05-25,4.12,
08NK028,1,1986-05-26,5.81,
